Наименование,"Выручка, ₽",ИНН
"ПАО ""НК ""РОСНЕФТЬ""",8 трлн,7706107510
"ПАО ""ГАЗПРОМ""",6 трлн,7736050003
"ПАО ""ГАЗПРОМ НЕФТЬ""",3 трлн,5504036333
"ПАО ""ЛУКОЙЛ""",2 трлн,7708004767
"ОАО ""РЖД""",2 трлн,7708503727
"АО ""ТАНДЕР""",2 трлн,2310031475
"ООО ""АГРОТОРГ""",2 трлн,7825706086
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ""",1 трлн,5003021311
"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА",1 трлн,1644003838
"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""",1 трлн,8608048498
"ПАО ""ТРАНСНЕФТЬ""",998 млрд,7706061801
"АО ""ТК ""МЕГАПОЛИС""",902 млрд,5003052454
"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""",856 млрд,8401005730
"ПАО ""НЛМК""",793 млрд,4823006703
"ПАО ""ММК""",786 млрд,7414003633
"ООО ""ГАЗПРОМНЕФТЬ-РЕГИОНАЛЬНЫЕ ПРОДАЖИ""",786 млрд,4703105075
"АО ""ТОРГОВЫЙ ДОМ ""ПЕРЕКРЕСТОК""",779 млрд,7728029110
"ПАО ""СЕВЕРСТАЛЬ""",770 млрд,3528000597
"ПАО ""СИБУР ХОЛДИНГ""",731 млрд,7727547261
"ПАО ""НОВАТЭК""",730 млрд,6316031581
"АО ""КОЛЬСКАЯ ГМК""",715 млрд,5191431170
"ПАО АНК ""БАШНЕФТЬ""",659 млрд,274051582
"АО ""РУСАЛ""",596 млрд,7709329253
"ООО ""СТРОЙГОРОД""",593 млрд,9705074590
"АО ""ГАЗСТРОЙПРОМ""",579 млрд,7842155505
"ООО ""ДНС РИТЕЙЛ""",562 млрд,2540167061
"ОАО ""ЯМАЛ СПГ""",562 млрд,7709602713
"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""",528 млрд,7721632827
"ООО ""ГЛОБУС""",500 млрд,6670450790
"ООО ""ЛУКОЙЛ-КОМИ""",499 млрд,1106014140
"ООО ""ЛЕНТА""",496 млрд,7814148471
"ООО ""ГАЗПРОМ КАПИТАЛ""",487 млрд,7726588547
"АО ""ХК ""МЕТАЛЛОИНВЕСТ""",484 млрд,7705392230
"ООО ""МВМ""",476 млрд,7707548740
"ООО ""ЛЕРУА МЕРЛЕН ВОСТОК""",457 млрд,5029069967
"ООО ""ЛУКОЙЛ-ПЕРМЬ""",452 млрд,5902201970
"АО ""МОСЭНЕРГОСБЫТ""",425 млрд,7736520080
"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""",407 млрд,8904034784
"ООО ""ФМСМ""",393 млрд,7710298176
"ООО ""ЭППЛ РУС""",386 млрд,7707767220
"ПАО ""АЭРОФЛОТ""",379 млрд,7712040126
"ПАО ""МТС""",373 млрд,7740000076
"ООО ""ВЕЛЕС АКТИВ""",372 млрд,5015005970
"АО ""ЕВРАЗ ЗСМК""",365 млрд,4218000951
"ООО ""ГАЗПРОМНЕФТЬ-ХАНТОС""",365 млрд,8618006063
"ООО ""ЛУКОЙЛ-РНП-ТРЕЙДИНГ""",364 млрд,9705083130
"АО ""АПАТИТ""",362 млрд,5103070023
"АО ""ТРЕНД""",356 млрд,7708729065
"ООО ""ФОЛЬКСВАГЕН ГРУП РУС""",355 млрд,5042059767
"ПАО ""РОСТЕЛЕКОМ""",351 млрд,7707049388
"ООО ""ДЖ.Т.И. РОССИЯ""",344 млрд,7703386329
"ООО ""ТОЙОТА МОТОР""",332 млрд,7710390358
"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""",327 млрд,266048970
"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""",326 млрд,8904034777
"АО ""ОРЕНБУРГНЕФТЬ""",324 млрд,5612002469
"ООО ""РН-ЮГАНСКНЕФТЕГАЗ""",324 млрд,8604035473
"ООО ""ЛОГОС""",323 млрд,7723849543
"ПАО ""ТМК""",322 млрд,7710373095
"ООО ""КРЕДИТ СВИСС СЕКЬЮРИТИЗ (МОСКВА)""",322 млрд,7705183980
"ООО ""ХОЛДИНГОВАЯ КОМПАНИЯ ""ДОМИНАНТА""",318 млрд,7708780174
"АО ""ДИКСИ ЮГ""",316 млрд,5036045205
"АО ""ГАЗПРОМНЕФТЬ-ННГ""",313 млрд,8905000428
"ПАО ""МЕГАФОН""",313 млрд,7812014560
"АО ""ВОСТОКТРАНССЕРВИС""",310 млрд,2538003718
"АО ""АВТОВАЗ""",301 млрд,6320002223
"ООО ""НОВАТЭК-УСТЬ-ЛУГА""",298 млрд,4707026057
"АО ""ЕВРАЗ НТМК""",298 млрд,6623000680
"АО ""АРКТИКГАЗ""",295 млрд,8904002359
"ООО ""СЭРК""",289 млрд,7703608910
"ПАО ""ВЫМПЕЛКОМ""",286 млрд,7713076301
"ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ""",282 млрд,3444070534
"АО ""ЛЕБЕДИНСКИЙ ГОК""",282 млрд,3127000014
"ОАО ""УРАЛЬСКАЯ ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ"", ОАО ""УГМК""",279 млрд,6606013640
"ООО ""КИА РОССИЯ И СНГ""",276 млрд,7728674093
"АО ""МЕРСЕДЕС-БЕНЦ РУС""",275 млрд,7707016368
АО АСЭ,275 млрд,7701186067
"ООО ""МЕРЛИОН""",274 млрд,7719269331
"ООО ""НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ""",274 млрд,8903021599
"ПАО ""УРАЛКАЛИЙ""",269 млрд,5911029807
"АО ""УК ""КУЗБАССРАЗРЕЗУГОЛЬ""",264 млрд,4205049090
"АО ""КЗ ""ОТРАДНОЕ""",263 млрд,7715038380
"АК ""АЛРОСА"" (ПАО)",262 млрд,1433000147
"ООО ""ФК ПУЛЬС""",260 млрд,5047045359
"ПАО ""Т ПЛЮС""",259 млрд,6315376946
"ООО ""ОЙЛ ТЕХНОЛОДЖИС""",257 млрд,7728731619
"ООО ""ЭЛЛАДА ИНТЕРТРЕЙД""",255 млрд,3906072056
"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""",255 млрд,1651000010
"АО ""ФОРТЕИНВЕСТ""",253 млрд,7707743204
"ГБУЗ ТО ""ОБСМЭ""",252 млрд,7203058175
"АО ""РОЛЬФ""",251 млрд,5047254063
"ПАО ""КАМАЗ""",248 млрд,1650032058
"ПАО ""ФСК ЕЭС""",248 млрд,4716016979
"ООО ""ГАЗПРОМ ГНП ХОЛДИНГ""",247 млрд,3906229324
"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""",247 млрд,8622000931
"ООО ""СНС-ХОЛДИНГ""",245 млрд,5032260402
